Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Abstract,Publisher,ISSN,ISBN,CODEN,Abbreviated Source Title,Document Type,Publication Stage,Open Access,Source,EID
"Babo R., Fitas R., Suhonen J., Tukiainen M.","36459566700;57211251569;7006843907;56011914400;","Analysing and improving mathematical formulation of webavalia: A self and peer assessment tool",2020,"IEEE Global Engineering Education Conference, EDUCON","2020-April",,"9125101","1325","1332",,2,"10.1109/EDUCON45650.2020.9125101","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85087864215&doi=10.1109%2fEDUCON45650.2020.9125101&partnerID=40&md5=2ca31e0dd72c4d39fb76de4ed4da8332","Recently, Problem-based learning has been increasingly used, and with those practices, self and peer evaluation tasks have gained more importance. This method of learning assists learners in the acquisition of skills and competencies. In order to support self and peer evaluation tasks, there are some different software offers in the market. The ease use of them is demanded since these tasks are an important part of evaluation. With the literature emphasis on the importance of assessment and critical spirit, it arises the possibility to implement formulas to increase the efficiency on the methodology applied and satisfaction of students and teachers. This paper introduces formulation problems about marks weighting in self and peer evaluation. It presents the advantages and disadvantages of different solutions for the formulation and suggestions of adapting them among tools, feedback surveys, and teacher's methods of evaluation. It is also expected that the formulation, which was implemented in the software tool WEBAVALIA, has a great impact on feedback, improving user experience, and both efficiency and flexibility. © 2020 IEEE.","IEEE Computer Society",21659559,9781728109305,,"IEEE Global Eng. Edu. Conf., EDUCON",Conference Paper,"Final","All Open Access, Green",Scopus,2-s2.0-85087864215
"López-Belmonte J., Segura-Robles A., Fuentes-Cabrera A., Parra-González M.E.","57214748261;57191975630;57209782017;57209307676;","Evaluating activation and absence of negative effect: Gamification and escape rooms for learning",2020,"International Journal of Environmental Research and Public Health","17","7","2224","","",,30,"10.3390/ijerph17072224","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85082628594&doi=10.3390%2fijerph17072224&partnerID=40&md5=79e20d14f998e125b3f0549dc6ab8f33","Innovation has allowed for and developed new ways of teaching and learning. Gamification is among the new training methodologies, which is a didactic approach based on the game structure with an attractive component for students. Within gamification, flipped learning and problem-based learning, escape rooms can be found as a technical aspect, which is focused on providing enigmas and tracks for the various educational content that students have assimilated through learning based on problem solving. The aim of this study is to identify how the use of gamification with the use of educational escape rooms affects activation and absence of a negative effect on students. 61 Master students of the Autonomous City of Ceuta participated in this case study. They were divided into three study groups (1 control group; 2 experimental groups) that followed different formative actions (control group—traditional; experimental groups—escape rooms). To achieve the objectives, a mixed research design based on quantitative and qualitative techniques was followed. The instrument used for data collection was the GAMEX (Gameful Experience Scale). The results reveal that the students who had taken a gamified formative action through escape rooms obtained better assessment results in the indicators concerning motivation, teamwork, commitment, activation, and absence of a negative effect on the learning process than those with the traditional methodology. © 2020 by the authors. Licensee MDPI, Basel, Switzerland.","MDPI AG",16617827,,,"Int. J. Environ. Res. Public Health",Article,"Final","All Open Access, Gold, Green",Scopus,2-s2.0-85082628594
"Kneisel E.","57215607025;","Team reflections, team mental models and team performance over time",2020,"Team Performance Management","26","1-2",,"143","168",,3,"10.1108/TPM-09-2018-0061","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85081373504&doi=10.1108%2fTPM-09-2018-0061&partnerID=40&md5=5202a20f2e9e13648799e1d4a1d50522","Purpose: Although previous research proved positive impacts of team reflection on team outcomes, especially team performance and innovation, there are only a few insights in to which factors (mediators) account for these positive effects and over what period these effects unfold (temporal effects). To close this gap, this paper aims to investigate the direct effects of team reflection on team performance over time, as well as indirect effects because of the development of similar and accurate team mental models to explain this relationship. Design/methodology/approach: Within a longitudinal experimental study on 22 student project teams working on a complex problem-solving task, the effects of repeated team reflection interventions on the development of team performance and team mental models over six measuring times were analysed. Findings: Results show that team reflections caused significant increases in team performance and team mental models over time. Results also provide evidence that team mental models’ quality mediates the effects of team reflections on team performance. Research limitations/implications: The results are interesting for both research fields, team reflection and team mental models, as the findings indicate the merits of recurrent reflection for improving team mental models’ quality. Practical implications: For organisational practice, the question of how reflection processes can be deliberately triggered in teams and effectively integrated into the daily routine should be considered. Originality/value: The findings accentuate the role of team reflections for improving team performance team mental models over time. By continuous reflecting teams increase awareness and insights into effective team processes and strategies (i.e. shared and accurate team mental models), which lead to better performance. © 2020, Emerald Publishing Limited.","Emerald Group Holdings Ltd.",13527592,,,"Team Perform. Manage.",Article,"Final","",Scopus,2-s2.0-85081373504
"Saqr M., Nouri J., Vartiainen H., Malmberg J.","57193957679;36608737900;55532161200;35764884800;","What makes an online problem-based group successful? A learning analytics study using social network analysis",2020,"BMC Medical Education","20","1","80","","",,13,"10.1186/s12909-020-01997-7","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85081994966&doi=10.1186%2fs12909-020-01997-7&partnerID=40&md5=c67fc302d32fd9d54c35665520130e1a","Background: Although there is a wealth of research focusing on PBL, most studies employ self-reports, surveys, and interviews as data collection methods and have an exclusive focus on students. There is little research that has studied interactivity in online PBL settings through the lens of Social Network Analysis (SNA) to explore both student and teacher factors that could help monitor and possibly proactively support PBL groups. This study adopts SNA to investigate how groups, tutors and individual student's interactivity variables correlate with group performance and whether the interactivity variables could be used to predict group performance. Methods: We do so by analyzing 60 groups' work in 12 courses in dental education (598 students). The interaction data were extracted from a Moodle-based online learning platform to construct the aggregate networks of each group. SNA variables were calculated at the group level, students' level and tutor's level. We then performed correlation tests and multiple regression analysis using SNA measures and performance data. Results: The findings demonstrate that certain interaction variables are indicative of a well-performing group; particularly the quantity of interactions, active and reciprocal interactions among students, and group cohesion measures (transitivity and reciprocity). A more dominating role for teachers may be a negative sign of group performance. Finally, a stepwise multiple regression test demonstrated that SNA centrality measures could be used to predict group performance. A significant equation was found, F (4, 55) = 49.1, p < 0.01, with an R2 of 0.76. Tutor Eigen centrality, user count, and centralization outdegree were all statistically significant and negative. However, reciprocity in the group was a positive predictor of group improvement. Conclusions: The findings of this study emphasized the importance of interactions, equal participation and inclusion of all group members, and reciprocity and group cohesion as predictors of a functioning group. Furthermore, SNA could be used to monitor online PBL groups, identify important quantitative data that helps predict and potentially support groups to function and co-regulate, which would improve the outcome of interacting groups in PBL. The information offered by SNA requires relatively little effort to analyze and could help educators get valuable insights about their groups and individual collaborators. © 2020 The Author(s).","BioMed Central Ltd.",14726920,,,"BMC Med. Educ.",Article,"Final","All Open Access, Gold, Green",Scopus,2-s2.0-85081994966
"Areeisty K., Hasanuddin, Sarong M.A.","57215595867;57216239560;55648686100;","The implementation of problem-based learning with mind mapping to improve students' learning motivation",2020,"Journal of Physics: Conference Series","1460","1","012061","","",,,"10.1088/1742-6596/1460/1/012061","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85081315462&doi=10.1088%2f1742-6596%2f1460%2f1%2f012061&partnerID=40&md5=482af56cb9d11618c0406db35da903eb","Students' learning motivation is as low as indicated by the poor learning outcomes for the topic of environment pollution system. The current teaching and learning process of environmental pollution is lack of the use of innovative learning models. Their learners are merely listening and take notes and thus they are not interested in learning. This research was conducted to determine the impacts of the implementation of problem-based learning models with Mind mapping on the students' motivation for the environmental pollution topic in Year 10 of two senior high school Banda Aceh, Indonesia. This research employed a quantitative approach, evaluation research. The method was quasi-experiment, with pretest-posttest factorial group design. The sample of this study were 253 students from SMAN 5 and SMAN 7 Banda Aceh, Indonesia. The instrument was a questionnaire to measure students' motivation. Data analysis involved a non-parametric test, the Mann Whitney test, at a significant level of 0.05. The findings of this study indicated that the influence of the implementation of problem-based learning models with Mind mapping on the motivation-.outcomes of the Year 10 students for the environmental pollution topic. © 2020 IOP Publishing Ltd. All rights reserved.","Institute of Physics Publishing",17426588,,,"J. Phys. Conf. Ser.",Conference Paper,"Final","All Open Access, Bronze",Scopus,2-s2.0-85081315462
"Palego C., Pierce I.","23973637900;6701581587;","Inspiring a self-reliant learning culture while brewing the next silicon valley in north Wales",2020,"Education Sciences","10","3","64","","",,1,"10.3390/educsci10030064","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85081227390&doi=10.3390%2feducsci10030064&partnerID=40&md5=3733c826780e02961d11ff1992c5db19","Practical strategies for improving individual engagement and performance within an engineering team project learning environment were applied and evaluated. While methodological refinements were required due to the structural challenges and novelty of the practice, positive outcomes such as a perceived increase in engagement and technical proficiency were recorded. Critical aspects in the current approach are the well-known issue of assessing individual contributions within group performance, and setting a proper regulatory environment to prevent peer-assessment bias or dysfunctions. A novel intra-group mark moderation approach is presented and discussed. © 2020 by the authors. Licensee MDPI, Basel, Switzerland.","MDPI AG",22277102,,,"Educ. Sci.",Article,"Final","All Open Access, Gold, Green",Scopus,2-s2.0-85081227390
"Tang C.M., Bradshaw A.","36462596300;57193953331;","Instant messaging or face-to-face? How choice of communication medium affects team collaboration environments",2020,"E-Learning and Digital Media","17","2",,"111","130",,2,"10.1177/2042753019899724","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85078024040&doi=10.1177%2f2042753019899724&partnerID=40&md5=5b541efb3ae9e3126f77b55209f15233","Working on team projects is a common feature in higher education as a way to foster team learning and collaboration. For a team to work well towards achieving project objectives, it is important that there is effective team communication. Conventionally, face-to-face interactions allow students to interact with each other in multiple communication channels, simultaneously sending and receiving verbal and nonverbal messages in real time. Today, modern mobile technology offers students a variety of alternative digital communication media for collaboration. Unlike a full-channel communication medium such as the face-to-face interaction, a digital communication medium like instant messaging does not normally transmit nonverbal cues. As a result, to compensate for insufficient nonverbal cues, users of instant messaging services have to put more effort and time into understanding each other. If more effort and time is required to understand each other better, then why is it that today’s students prefer instant messaging to face-to-face interactions for collaborative project work? To answer this question, this study conducted a questionnaire survey to collect responses from university students who have been involved in team projects. This study analysed students’ copresence (a second-order formative construct consisting of two first-order constructs: self-copresence and partner-copresence) and its relationships with media satisfaction and communication effectiveness. It investigated whether these relationships differed between the students who used instant messaging and those who used face-to-face interactions. In addition, this study also examined whether media satisfaction played a mediating role between copresence and communication effectiveness. The findings of this study could help explain how different communication media can facilitate teamwork in collaborative learning environments. © The Author(s) 2020.","SAGE Publications Inc.",17418887,,,"E-Learning Digit. Media",Article,"Final","",Scopus,2-s2.0-85078024040
"Isaacson S., Friedlander L., Meged C., Havivi S., Cohen-Zada A.L., Ronay I., Blumberg D.G., Maman S.","57190376052;55775479900;57212451376;57190382855;57041268100;57212447299;26642986200;37111154200;","She Space: A multi-disciplinary, project-based learning program for high school girls",2020,"Acta Astronautica","168",,,"155","163",,1,"10.1016/j.actaastro.2019.12.005","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85076685051&doi=10.1016%2fj.actaastro.2019.12.005&partnerID=40&md5=df314c047e93015456004b68372fbd21","Previous research investigating the under-representation of women in science and technology fields has identified various causes. These include, a lack of inspiring female role-models, limited exposure of girls to science, technology, engineering, and mathematics (STEM) subjects, gender-biased stereotypes, and preferences for different learning styles between genders. Dedicated to the ideas of women and space, the “She Space” research project for high school girls was a joint effort of the Earth and Planetary Image Facility (EPIF) at Ben-Gurion University in the Negev and Beit Yatziv. The participants included 20 high-school aged female students and a predominantly female staff of up to eight university researchers and advanced degree students. The goal of this project was to advance and support female students engaging with various scientific fields and, in particular, the field of space science. The project emphasized the quality and development of the research process and used project-based learning to help participants learn to use a research-based approach when encountering challenging scientific concepts or subjects. This, together with active learning and teamwork was set as the educational framework to meet the different learning styles and motivational needs of girls. Furthermore, special attention was given to the suppression of gender stereotypes by 1) introducing women role models 2) overcoming self-induced prejudices related to STEM abilities by introducing new and unknown subjects (remote sensing), about which participants lack preconceptions. Using participant surveys, we found that self-reported confidence with and interest in STEM subjects increased after the project. We also found that participants’ feelings about participating in an all-female program did not noticeably change after the program. However, the vast majority (87%) of participants did report that having a majority female staff was very important to them. © 2019 IAA","Elsevier Ltd",00945765,,AASTC,"Acta Astronaut",Article,"Final","",Scopus,2-s2.0-85076685051
"Kłeczek R., Hajdas M., Wrona S.","15063173300;55957730000;57193113680;","Wicked problems and project-based learning: Value-in-use approach",2020,"International Journal of Management Education","18","1","100324","","",,10,"10.1016/j.ijme.2019.100324","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85074141146&doi=10.1016%2fj.ijme.2019.100324&partnerID=40&md5=c70ff2dd643038e7fc450857e572c432","Goal: This paper contributes to the knowledge about the project-based learning (PBL) aimed at solving “wicked” problems, performed in a collaborative education-enterprise learning environment. Results: We have identified one pattern in the analysed data: the more the teaching process is focused (by content, time and participants) on the task to be solved, the greater the effects. Method: The critical incident technique (CIT) has been used to generate data. Unit of analysis is the real process of interactions between students, faculty members, business-partners and project organizers during the work in progress on business originated project challenges. Managerial implications: We suggest changes in PBL project structure aimed at solving wicked problems: introducing more diverse and smaller projects instead of one big project challenge, teaching students how to manage information complexity and dynamic project requirements, allowing students to participate in the selection and organization of students’ teams. Limitations: The research is focused on: (1) students' point of view and (2) learning of problem formulation in the design thinking process. Originality/value: The contribution is the identified pattern: the more the teaching process is focused (by content, time and participants) on the task to be solved, the greater the effects. © 2019 Elsevier Ltd","Elsevier Ltd",14728117,,,"Int. J. Manage. Educ.",Article,"Final","",Scopus,2-s2.0-85074141146
"Ju A., Hemani A., Dimitriadis Y., Fox A.","57189384059;57205199095;6603770066;35571093800;","What agile processes shouldwe use in software engineering course projects?",2020,"SIGCSE 2020 - Proceedings of the 51st ACM Technical Symposium on Computer Science Education",,,,"643","649",,3,"10.1145/3328778.3366864","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85081597724&doi=10.1145%2f3328778.3366864&partnerID=40&md5=ab645db5ffb23590bcf0a1c12cfbd625","While project-based software engineering courses aim to provide learning opportunities grounded in professional processes, it is not always possible to replicate every process in classrooms due to course constraints. Previous studies observed how students react to various processes and gave retroactive recommendations. In this study, we instead combine a field study on professional Agile (eXtreme Programming, XP) teams and an established team process taxonomy to proactively select team processes to incorporate in a project-based software engineering course. With collected knowledge from the field study, we choose three XP processes to augment the design of a mature software engineering project course. We choose processes that are 1) considered important by professionals, and 2) complete with respect to coverage of the taxonomy's main categories.We then compare the augmented course design with the original design in a case study. Our results suggest that 1) even without extra resources, adding these new processes does not interfere with learning opportunities for XP processes previously existing in the course design; 2) student teams experience similar benefits from these new processes as professional teams do, and students appreciate the usefulness and value of the processes. In other words, our approach allows instructors to make conscious choices of XP processes that improve student learning outcomes while exposing students to a more complete set of processes and thus preparing them better for professional careers. Course designers with limited resources are encouraged to use our methodology to evaluate and improve the designs of their own project-based courses. © 2020 Copyright held by the owner/author(s). Publication rights licensed to ACM.",,,9781450367936,,"SIGCSE - Proc. ACM Tech. Symp. Comput. Sci. Educ.",Conference Paper,"Final","All Open Access, Bronze, Green",Scopus,2-s2.0-85081597724
"Perez B., Rubio A.L.","35226781700;56820309700;","A project-based learning approach for enhancing learning skills and motivation in software engineering",2020,"SIGCSE 2020 - Proceedings of the 51st ACM Technical Symposium on Computer Science Education",,,,"309","315",,15,"10.1145/3328778.3366891","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85081570721&doi=10.1145%2f3328778.3366891&partnerID=40&md5=9bf3bae8a4650620a9c9cc134bacf4c3","Software engineers must be able to manage complex projects, so that skills such as teamwork, leadership or initiative are critical to their successful development. Because of this, it is fundamental that the learning of software engineering as an academic discipline provides solid links between theory and practice. Educational frameworks such as those derived from the European Higher Education Area state that student-centered approaches are a useful tool for achieving these objectives. In this context, we present a project-based learning (PBL) experience report in a software engineering program of a Spanish university. The experience is based on the formation of small heterogeneous teams, which face the initial phases of a software methodology during the development of a project close to a real one. Through a strategy of role rotation and documentation transfer, all students perform different tasks and face different challenges throughout the project. Summative assessment is also adopted, considering not only teacher ratings but also students' peer assessment. The results prove the positive effect of using PBL to improve the training of students in acquiring different skills as future software engineers. © 2020 Copyright held by the owner/author(s). Publication rights licensed to ACM.",,,9781450367936,,"SIGCSE - Proc. ACM Tech. Symp. Comput. Sci. Educ.",Conference Paper,"Final","",Scopus,2-s2.0-85081570721
"Iacob C., Faily S.","57201949677;26435167600;","The impact of undergraduate mentorship on student satisfaction and engagement, teamwork performance, and team dysfunction in a software engineering group project",2020,"SIGCSE 2020 - Proceedings of the 51st ACM Technical Symposium on Computer Science Education",,,,"128","134",,4,"10.1145/3328778.3366835","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85081563461&doi=10.1145%2f3328778.3366835&partnerID=40&md5=4c91a3c718aa72d0ac633272b7a07849","Mentorship schemes in software engineering education usually involve professional software engineers guiding and advising teams of undergraduate students working collaboratively to develop a software system. With or without mentorship, teams run the risk of experiencing team dysfunction: a situation where lack of engagement, internal conicts, and/or poor team management lead to dierent assessment outcomes for individual team members and overall frustration and dissatisfaction within the team. The paper describes a mentorship scheme devised as part of a 33 week software engineering group project course, where the mentors were undergraduate students who had recently completed the course successfully and possessed at least a year's experience as professional software engineers. We measure and discuss the impact the scheme had on: (1) student satisfaction and engagement, (2) team performance, and (3) team dysfunction. © 2020 Copyright held by the owner/author(s). Publication rights licensed to ACM.",,,9781450367936,,"SIGCSE - Proc. ACM Tech. Symp. Comput. Sci. Educ.",Conference Paper,"Final","All Open Access, Green",Scopus,2-s2.0-85081563461
"He J., Sun B., Zhu X.","56077940400;56416899900;55696685000;","P2-based Learning Approach in &lt; Robot Based Innovation Design &gt; for Computer Science Students in teacher's college",2020,"ACM International Conference Proceeding Series",,,,"124","127",,,"10.1145/3383923.3383924","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85105599941&doi=10.1145%2f3383923.3383924&partnerID=40&md5=e8c67fa13bbde584b583256dda2e5c64","<Robot Based Innovation Design> is a compulsory course for students in teacher's college major in computer science in Beijing Normal University, whose objective is students' comprehensive problem-solving ability, especially innovation ability, cooperation ability and competitive organization ability. Some prerequisite knowledge for skilled application of robot, such as industrial design, mechanical principle, is seldom available for computer science students in teacher's college, which make the traditional Project or Problem-Based Learning approach unsuitable. Thus, we perform the Project and Problem combining-Based Learning (P2BL) approach, which enable students to acquire knowledge and learning techniques in a problem-based approach, and integrate knowledge and applied techniques through a project-based approach. In the paper, based on the characteristics of problem-based learning and project-based learning approaches, we bring out the main idea of P2BL approach and its implementation on the course of <Robot Based Innovation Design>. Practice shows that P2BL based <Robot Based Innovation Design> can better stimulate students' independent learning ability, innovation ability and teamwork ability. © 2020 ACM.","Association for Computing Machinery",,9781450375085,,"ACM Int. Conf. Proc. Ser.",Conference Paper,"Final","",Scopus,2-s2.0-85105599941
"Burch M.","36927991800;","Teaching eye tracking visual analytics in computer and data science bachelor courses",2020,"Eye Tracking Research and Applications Symposium (ETRA)",,,,"","",,2,"10.1145/3379155.3391331","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85086182984&doi=10.1145%2f3379155.3391331&partnerID=40&md5=d0c97da5709f13d00046a2a01215b5f9","Making students aware of eye tracking technologies can have a great benefit on the entire application field since they may build the next generation of eye tracking researchers. On the one hand students learn the usefulness and benefits of this technique for different scientific purposes like user evaluation to find design flaws or visual attention strategies, gaze-assisted interaction to enhance and augment traditional interaction techniques, or as a means to improve virtual reality experiences. However, on the other hand, the large amount of recorded data means a challenge for data analytics in order to find rules, patterns, but also anomalies in the data, finally leading to insights and knowledge to understand or predict eye movement patterns which can have synergy effects for both disciplines - eye tracking and visual analytics. In this paper we will describe the challenges of teaching eye tracking combined with visual analytics in a computer and data science bachelor course with 42 students in an active learning scenario following four teaching stages. Some of the student project results are shown to demonstrate learning outcomes with respect to eye tracking data analysis and visual analytics techniques. © 2020 ACM.","Association for Computing Machinery",,9781450371339,,"Eye Track. Res. Appl. Symp. (ETRA)",Conference Paper,"Final","",Scopus,2-s2.0-85086182984
"Bhadargade S.L., Kaushik M., Joshi G.","57221602632;57200766043;55439875800;","A study of factors influencing the problem-solving skills of engineering students",2020,"Journal of Engineering Education Transformations","33","4",,"8","19",,1,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85099563067&partnerID=40&md5=a852bb2eb4774906872dc47a782f4074","Problem-solving skill is one of the essential attributes of an engineering graduate. It refers to the ability of the person to analyse a given problem and offer the best solution within the constraints. Engineering curriculum has the mandate of equipping students with skills and competencies in problem-solving. Several factors influence the problem-solving skills in addition to the technical skills and com petencies o ffered throug h curri cular interventions. Psychological factors, which are habitual patterns of behaviour, thought and emotion, also influence problem-solving skills. This study focuses on investigating the influence of psychological factors like motivation, perception, stress, team working skills, learning styles, general self-efficacy on problem-solving skills of engineering students. This study focused on first-year students of undergraduate engineering program registered for a course titled Engineering Exploration. This course is a three-credit multidisciplinary course that effectively uses Activity-Based Learning (ABL), Design-Based Learning (DBL) and Project-Based Learning (PBL) pedagogical practices. The data collected for the study was through interviews and the use of well-structured questionnaires administered to first-year students enrolled for the course offered at the university. Results show that the psychological factors of students like motivation, perception, general self-efficacy and teamwork skills have a positive influence on problem-solving skills, while stress has a negative effect. However, the difference in learning styles does not influence problem-solving skills. © 2020, Rajarambapu Institute Of Technology. All rights reserved.","Rajarambapu Institute Of Technology",23492473,,,"J. Eng. Edu. Transform.",Article,"Final","",Scopus,2-s2.0-85099563067
"Hendriks R.A., de Jong P.G.M., Admiraal W.F., Reinders M.E.J.","57207735881;57191160436;55499681000;35249116400;","Instructional design quality in medical Massive Open Online Courses for integration into campus education",2020,"Medical Teacher","42","2",,"156","163",,16,"10.1080/0142159X.2019.1665634","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85073958577&doi=10.1080%2f0142159X.2019.1665634&partnerID=40&md5=cb53b6d2ab8a6754754c29f2924b914a","Purpose: Medical Massive Open Online Courses (MOOCs) are of interest for campus education. With growing interest in integrating medical MOOCs, their quality must be ensured. This however, has not been studied. We investigated if medical MOOCs meet the instructional design principles: problem-centeredness, activation, demonstration, application, integration, collective knowledge, collaboration, differentiation, authentic resources, feedback, and goal-setting. Methods: An overview of medical MOOCs and inclusion criteria were developed. Out of 410 MOOCs, 33 were selected. A data collection tool was compiled and calibrated. Investigators enrolled in selected MOOCs and coded presence of instructional design principles after examination of all course pages. Results: Application, authentic resources, problem-centeredness, and goal-setting were found to be present in many of the courses. Activation, collective knowledge, differentiation, and demonstration were present in less than half of the courses. Finally, integration, collaboration, and expert feedback were present in less than 15% of the courses. Conclusions: Medical MOOCs meet these principles in varying degree. Certain principles might be scarcely present due to a problematic fit with the MOOC concept or a need for further development in online settings. Assessment of instructional design quality is desired before integrating so that MOOC quality can be considered in relation to the quality of existing campus education. © 2019, © 2019 The Author(s). Published by Informa UK Limited, trading as Taylor & Francis Group.","Taylor and Francis Ltd",0142159X,,MEDTD,"Med. Teach.",Article,"Final","All Open Access, Hybrid Gold",Scopus,2-s2.0-85073958577
"Jaime A., Olarte J.J., Garcia-Izquierdo F.J., Dominguez C.","6603621564;56278101400;27567718000;36185069000;","The Effect of Internships on Computer Science Engineering Capstone Projects",2020,"IEEE Transactions on Education","63","1","8782630","24","31",,7,"10.1109/TE.2019.2930024","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85070375099&doi=10.1109%2fTE.2019.2930024&partnerID=40&md5=21f57ac3732516a497510a8840f2b40f","Contribution: Internships designed to provide training and an initial period of contact with industry, prior to a computer science engineering capstone project, have a very positive impact on both industry and academic capstone projects. Background: Internships and capstone projects are widely used to integrate work-related learning in computer engineering curricula. Both activities offer numerous benefits for students, industry, and academia. Although their effects have been extensively studied separately, the interaction between them remains unexplored. Research Questions: What is the effect of internships on the development of a subsequent capstone project? Methodology: The hypothesis was that the completion of an internship will have positive effects on several aspects of the capstone projects: 1) improved student competencies; 2) improved capstone project outcomes; and 3) decreased supervision effort. Further, these positive effects were expected to be greater in industry-based projects than in academic projects. The hypothesis was tested through a quantitative study of data collected from 274 computer science engineering capstone projects. A period of time with internships was compared with another period without internships, and differentiating between academic and industry projects. Findings: Internships prior to capstone projects improve student skills in autonomy, technology, methodology, and project management; increase the complexity and technological novelty of the resulting projects; and reduce advisor involvement in practical (technology, execution) and keep-the-project-alive issues, and increase advisor involvement in monitoring student work (meetings, reports, and initial arrangements). This effect was observed in both industrial and academic projects. © 1963-2012 IEEE.","Institute of Electrical and Electronics Engineers Inc.",00189359,,IEEDA,"IEEE Trans Educ",Article,"Final","",Scopus,2-s2.0-85070375099
"Billings S., England M.","57214870660;55253384400;","First Year Computer Science Projects at Coventry University Activity-led integrative team projects with continuous assessment",2020,"ACM International Conference Proceeding Series",,,,"","",,2,"10.1145/3372356.3372358","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85123040981&doi=10.1145%2f3372356.3372358&partnerID=40&md5=b3835c3c263e8dd9373dc5f89c95a100","We describe the group projects undertaken by first year undergraduate Computer Science students at Coventry University. These are integrative course projects: designed to bring together the topics from the various modules students take, to apply them as a coherent whole. They follow an activity-led approach, with students given a loose brief and a lot of freedom in how to develop their project. We outline the new regulations at Coventry University which eases the use of such integrative projects. We then describe our continuous assessment approach: where students earn a weekly mark by demonstrating progress to a teacher as an open presentation to the class. It involves a degree of self and peer assessment and allows for an assessment of group work that is both fair, and seen to be fair. It builds attendance, self-study / continuous engagement habits, public speaking / presentation skills, and rewards group members for making meaningful individual contributions. © 2020 Association for Computing Machinery.","Association for Computing Machinery",,9781450377294,,"ACM Int. Conf. Proc. Ser.",Conference Paper,"Final","All Open Access, Green",Scopus,2-s2.0-85123040981
"Brosens L.","57211280866;","Self-regulating Soft skills in group project-based design education",2020,"Proceedings of the International ACM SIGGROUP Conference on Supporting Group Work",,,,"1","5",,,"10.1145/3323994.3371013","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85078360704&doi=10.1145%2f3323994.3371013&partnerID=40&md5=e253e26ed1ac87e332732a285c32449c","Design education finds itself at a crossroad, having to deal with an emerging industry 4.0 and global issues such as, sustainability. The engineering design curriculum needs to arm students with 21st century soft skills to be able to cope with an ever-evolving world. One of the most important soft skills is self-regulation, so that students can adapt to changing situations; know what skills they are lacking; and function efficiently in a multidisciplinary team. This application includes an introduction to self-regulation in design education. Additionally, it includes the setup and findings of a first pilot study the Ph.D. researcher conducted. The study used an online platform to assess students' involvement in a team and the group dynamics within the team. Afterwards the results were communicated and students were asked to reflect and propose solutions for group related challenges. Lastly, this application includes an overview of the reasons why the Ph.D. researcher would like to participate in the doctoral colloquium. © 2020 Copyright is held by the owner/author(s). Publication rights","Association for Computing Machinery",,9781450367677,,"Proc Int ACM SIGGROUP Conf Support Group Work",Conference Paper,"Final","",Scopus,2-s2.0-85078360704
"Bjørner T., Mic M.C.","55234116000;57226864053;","Tech students’ perceptionsofof socialmedia’susefulnessduring during pblgroupwork",2020,"International Research Symposium on PBL",,,,"3","12",,,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85113163486&partnerID=40&md5=84aaa4bebe64498841dbca4bb51b60d6","This study explores tech students’ perceptions of social media’s usefulness during PBL group work. In contrast to much of the previous work, this study is not focused on effects; instead, it is aimed at determining the extent to which students perceived various social media platforms as useful within the context of their PBL group work. This study is based on 15 groups (45 tech students) enrolled at Aalborg University and uses the principles of problem-based learning. The study’s procedures included a semi-structured interview guide and a card sorting method. All participants in this study used social media for group coordination. Messenger, Skype, WhatsApp, Snapchat, and Facebook were all used in dynamic, changeable, and different ways within groups for coordination. Moreover, if social media platforms were used for non-academic purposes, they were mostly perceived as not useful and distracting. However, if the social media platforms were perceived as useful, they tended to contain group-and project-relevant content. The various social media platforms were perceived differently and used for different purposes throughout the PBL stages, depending on the individuals, and their use was not persistent or variable due to positive, neutral or negative perceptions. It can also be concluded that real-time synchronous and collaborative platforms are important for facilitating students’ group work and projects. In addition, the students perceived that a strongly focused group with good group dynamics benefits more from using social media than does a more unfocused group with an excessively friendly attitude. © The authors, 2020.","Aalborg University",24463833,9788772103136,,"Int. Res. Symp. PBL",Conference Paper,"Final","",Scopus,2-s2.0-85113163486
