"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","INSPEC Controlled Terms","INSPEC Non-Controlled Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"New teaching methods in higher education - Management of Information Systems course","K. Aleksić-Maslać; P. Vranešić; B. Debić","Entrepreneurship and Digital transformation,Zagreb School of Economics and Management/Department of Management,Zagreb,Croatia; Entrepreneurship and Digital transformation,Zagreb School of Economics and Management/Department of Management,Zagreb,Croatia; Entrepreneurship and Digital transformation,Zagreb School of Economics and Management/Department of Management,Zagreb,Croatia","2020 43rd International Convention on Information, Communication and Electronic Technology (MIPRO)","6 Nov 2020","2020","","","788","793","This paper presents the usage of modern teaching methods such as e-learning, gamification, case studies, teamwork and projects on the Management of Information Systems (MIS) course. As the course is held in the 7th semester of the undergraduate program on Zagreb School of Economics and Management (ZSEM), it is necessary to provide interesting and engaging materials and lectures for students that are soon entering the labor market. An important part of the course is covered by student projects which focus on information system (IS) or ERP (Enterprise Resource Planning system) implementation in companies. This aspect of the course develops positive competitive motivation, teamwork and presentational skills. Other examples of engaging elements implemented in this course are gamification, where students learn through playing, and e-learning component for distance learning, very useful for students that are on an exchange program abroad, athletes, students that work, etc. All course elements (project, discussion, cases, gamification, e-learning, etc.) present their own goals and learning outcomes. The aim is to present a course with important engaging elements in today's education sector with a combination of powerful learning methods and tools. The research will focus on the result analysis of the last 4 years of course practice.","2623-8764","978-953-233-099-1","10.23919/MIPRO48935.2020.9245266","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9245266","Course;e-learning;gamification;project","Electronic learning;Education;Tools;Stability analysis;Teamwork;System implementation;Information systems","computer aided instruction;computer science education;distance learning;educational courses;educational institutions;enterprise resource planning;further education;information systems;teaching","higher education;modern teaching methods;gamification;teamwork;undergraduate program;Zagreb School of Economics and Management;labor market;student projects;ERP implementation;enterprise resource planning system;e-learning component;distance learning;learning outcomes;education sector;Management of Information Systems;MIS course","","","","30","","6 Nov 2020","","","IEEE","IEEE Conferences"
"The Development of Collaborative Learning Management System Using Problem-Based on Cloud Learning to Enhance Critical Thinking","C. Boonprasom; K. Sintanakul","Faculty of Technical Education King Mongkut's University of Technology North Bangkok,Department of Computer Education; Faculty of Technical Education King Mongkut's University of Technology North Bangkok,Department of Computer Education","2020 7th International Conference on Technical Education (ICTechEd7)","27 May 2020","2020","","","13","18","This research aims to development of collaborative learning management system using Problem-Based on Cloud learning to enhance Critical Thinking and to evaluate the developed learning management system. A sample in this research included 7 experts with experiences in course design and development of a learning management system. Research methodology comprised 5 steps according to the ADDIE Model including analysis, design, development, implementation, and evaluation. The findings of this research were: 1} the developed learning management system consisted of 3 functionalities regarding to instructors, audience, and administrators; base tools of the system included learning contents management tool, collaborative work tool, communication tool, productivity tool, presentation tool, and evaluation tool, 2} contents assessment carried out by experts regarding contents appropriateness of the learning management system revealed the highest level of system appropriation (X = 4.63, S. D. = 0.49), and 3} techniques and methods used in learning management system evaluated by experts demonstrated the highest level of system appropriation (X = 4.60, S.D. = 0.52).","","978-1-7281-7424-2","10.1109/ICTechEd749582.2020.9101249","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9101249","Learning Management System;Problem-Based Learning;Cloud Learning;Critical Thinking","","cloud computing;content management;groupware;learning management systems","ADDIE model;critical thinking;cloud learning;collaborative learning management system;collaborative work tool;learning contents management tool","","","","15","","27 May 2020","","","IEEE","IEEE Conferences"
"Success Factors of IT Projects: Undergraduate Students Perspective","M. N. Islam; A. B. Islam","Military Institute of Science and Technology,Department of Computer Science and Engineering,Dhaka,Bangladesh; Military Institute of Science and Technology,Department of Computer Science and Engineering,Dhaka,Bangladesh","2020 61st International Scientific Conference on Information Technology and Management Science of Riga Technical University (ITMS)","19 Nov 2020","2020","","","1","6","Information Technology (IT) related projects are born and die but their underlying reasons remain. The success rates of IT projects are still low. A number of studies have been carried out to understand the key success factors and hindrances of IT related projects but most of them are focused to the software industry and only a few focused to the IT related undergraduate students projects. Thus, the objective of this research was to reveal the underlying reasons of making success in IT projects from the undergraduate students perspective. To attain this objective, an empirical study was carried out in an engineering institution in Bangladesh. The study was replicated with the 95 undergraduate students major in Computer Science and Engineering (CSE) program. The study data was collected using the questionnaire approach and analysis using the content analysis and the affinity diagram. The study revealed a total of ten success factors for the successful completion of IT-related students' projects. The outcomes will help all parties (teachers, students and administration) of an academic institution to improve the awareness and to diagnose problems at the beginning of pursuing any IT related projects, which in turn will contribute to improve the overall success of IT-related students' projects. The paper also explored the possible implications of the revealed factors for teachers, students, administrators and policy makers in an academic institution.","","978-1-7281-9105-8","10.1109/ITMS51158.2020.9259323","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9259323","IT projects;computer education;success factors;project success;affinity diagram","Industries;Software;Computer science;Organizations;Project management;Planning;Focusing","computer aided instruction;computer science education;educational courses;educational institutions;further education;human factors;information technology","key success factors;success rates;information technology related projects;software industry;IT related undergraduate student projects;engineering institution;Bangladesh;Computer Science and Engineering program;CSE;content analysis;affinity diagram;academic institution;diagnose problems","","2","","21","","19 Nov 2020","","","IEEE","IEEE Conferences"
"On Track: Seeing Engineering as Sociotechnical using Fitness Trackers","S. M. Lord; L. A. Gelles","University of San Diego,Integrated Engineering,San Diego,CA,USA; University of Texas at Dallas,Erik Johnson School of Engineering and Computer Science,Richardson,TX,USA","2021 IEEE Frontiers in Education Conference (FIE)","20 Dec 2021","2021","","","1","9","In this innovative practice paper, we describe a project related to fitness trackers designed to cultivate sociotechnical awareness and practice among second-year undergraduate engineering students in Spring 2020. We identified four topics related to fitness trackers that intersected with broader sociotechnical themes including data privacy, the workplace, health insurance companies, and sustainability. In teams, students researched the social and environmental impacts of fitness trackers for their topic and gave a presentation to the class including leading a discussion. This project was designed to scaffold learning, encourage class participation, and enhance the quality of presentation. Survey responses revealed that all student respondents found the practice presentation with the instructors held over Zoom as helpful in completing their assignments and presentations. Other aspects that students rated as helpful included providing a list of resources to start their research and an example presentation to clarify expectations about depth required. The global COVID-19 pandemic necessitated the project presentations being conducted remotely, which gave students the opportunity to practice facilitating using Zoom, a skill that is directly relevant to current industrial practice. Students were creative in how they encouraged their classmates to participate including using Zoom polls, Kahoot, and breakout rooms. Students' responses to survey questions demonstrate that they learned about the sociotechnical nature of engineering, believed the project topics mattered to them as engineers, and these topics were relevant to their majors. Students cited the environmental, social, and legal aspects of the project as most interesting to them as engineers. Thus this can serve as an example for other engineering educators for how to approach teaching sociotechnical content in engineering.","2377-634X","978-1-6654-3851-3","10.1109/FIE49875.2021.9637213","USA National Science Foundation (NSF)(grant numbers:1519453); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9637213","socio-technical thinking;communication skills;project based learning;virtual teams;social responsibility Introduction","COVID-19;Data privacy;Law;Employment;Education;Insurance;Companies","computer aided instruction;educational courses;engineering education;interactive devices;interactive systems;teaching","sociotechnical nature;sociotechnical content;fitness trackers;sociotechnical awareness;engineering students;student respondents;sociotechnical themes;Zoom polls;Kahoot;breakout rooms","","","","39","IEEE","20 Dec 2021","","","IEEE","IEEE Conferences"
"Teaching Cyber-Security for Distance Learners: A Reflective Study","A. Ahmed; K. Lundqvist; C. Watterson; N. Baghaei","Victoria University of Wellington,School of Engineering and Computer Science,Wellington,New Zealand; Victoria University of Wellington,School of Engineering and Computer Science,Wellington,New Zealand; Victoria University of Wellington,School of Engineering and Computer Science,Wellington,New Zealand; Massey University,School of Natural & Computational Sciences,Auckland,New Zealand","2020 IEEE Frontiers in Education Conference (FIE)","4 Dec 2020","2020","","","1","7","The number of distance learning degrees has increased dramatically over the last decade. Yet, despite this increase, teaching computer security subjects for online students remains challenging. Online classes often need a special infrastructure such as devices with specific tools, or hardware requirements. It is also a challenge to design a course that is pedagogically sound, engaging and fun for students who may come from a wide spectrum of educational backgrounds. The quality of the education delivered also differs from one institution to another. To provide a sense of accreditation and regulation, the National Cyber-security Centre, which is a part of Government Communications Headquarters (GCHQ) in the United Kingdom (UK) has certified only two online (i.e. distance learning) cybersecurity MSc degrees in the country.This paper presents an innovative way of designing capstone projects (i.e. case studies) along with the impact of it on retention, completion, and success rates in a world-class distance learning degree at the University of Liverpool (UoL) over the last ten years. The Chartered Institute for IT (i.e. BSC) is the accreditation body of the degree program studied in this research<sup>1</sup>.","2377-634X","978-1-7281-8961-1","10.1109/FIE44824.2020.9274062","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9274062","Distance Learning;Online Students;pedagogical;Teaching Cyber-security;Capstone Projects;case study-based projects;Student Satisfaction;peer assessment","Education;Computer aided instruction;Computer security;Tools;Writing;Instruments;Cloud computing","computer aided instruction;computer science education;distance learning;educational courses;Internet;security of data;teaching","online classes;National Cyber-security Centre;Government Communications Headquarters;United Kingdom;teaching;distance learning;computer security subjects;cybersecurity degrees;University of Liverpool;Internet","","1","","55","","4 Dec 2020","","","IEEE","IEEE Conferences"
"Insights.Wisdom.Leadership: A Study of Talent Cultivation of Big Data","J. Liang; S. Zhu; W. Gao; H. Li","Jinan University,Network and Educational Technology Center,Guangzhou,China; Jinan University,Network and Educational Technology Center,Guangzhou,China; Jinan University,Management School,Guangzhou,China; Jinan University,Network and Educational Technology Center,Guangzhou,China","2021 2nd International Conference on Artificial Intelligence and Education (ICAIE)","15 Sep 2021","2021","","","568","571","With the continuous progress and innovation of information technology, Big Data has become one of the most discussed topics in recent years. It alters how the new knowledge is learned and provides opportunities and unprecedented challenges for big data talent training in the educational field. Traditional talent training objectives are not clear and lack curriculum resources and practical teaching insufficiency. This paper analyzes how to cultivate innovative big data talents under the information environment. Our approach is based on three tenets: (1) INSIGHTS: Combine international theories and China's social development characteristics to build a big data technology curriculum system, focusing on the cultivation of insight skills. (2) WISDOM: Establish a ""WISDOM"" co-sharing learning space that focuses on Ubiquitous learning, which combines online + offline (3) LEADERSHIP: Cultivate students' innovation ability, leadership, and teamwork through project-based learning. It has been proved that the innovation of the big data talent training model has improved the quality of talent training and cultivate integrated talents with excellent teaching effects to meet the needs of modern society.","","978-1-6654-2492-9","10.1109/ICAIE53562.2021.00126","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9534601","Big data;talent training model;insights;wisdom;leadership","Training;Technological innovation;Leadership;Entrepreneurship;Focusing;Big Data;Data models","Big Data;computer aided instruction;computer science education;educational courses;educational institutions;human factors;teaching;ubiquitous computing","insights;talent cultivation;information technology;China;wisdom;ubiquitous learning;leadership;big data talent training model;cultivate integrated talents;big data technology curriculum;educational field","","","","6","","15 Sep 2021","","","IEEE","IEEE Conferences"
"Not a Silver Bullet, but a Silver Lining: Metamorphic Marking Administration","D. Towey; M. Pike","University of Nottingham Ningbo China,School of Computer Science,Ningbo,People’s Republic of China,315100; University of Nottingham Ningbo China,School of Computer Science,Ningbo,People’s Republic of China,315100","2021 IEEE Global Engineering Education Conference (EDUCON)","18 Jun 2021","2021","","","928","935","COVID-19 has caused heart-break and disruption. The People's Republic of China (PRC) was one of the first severely-impacted countries, but also one of the first to attempt to return to normalcy. Education, including Higher Education-the context of this paper-was disrupted, and the impact of these disruptions continues to be felt. A small consolation, or silver lining, has been the incredible efforts and innovations made by teachers to overcome the COVID-19 challenges. One such innovation is described in this paper: Drawing on the traditions of Metamorphic Exploration and Testing, the authors applied two different approaches to resolving a technical administration problem related to the management of assessments and marks for undergraduate software engineering team projects. This took place at University of Nottingham Ningbo China (UNNC), a Sino-foreign Higher Education Institution (HEI) with a history of staff-student collaboration, and education innovation. This paper outlines the experience and the insights learned from it. In addition to being of general interest to education administrators, especially those involved with project and marking administration, the innovative use of Metamorphic Testing ideas to develop the solution will be particularly interesting to computer scientists and software engineers.","2165-9567","978-1-7281-8478-4","10.1109/EDUCON46332.2021.9454074","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9454074","Administration;COVID-19;Marking Administration;Metamorphic Exploration (ME);Metamorphic Relation (MR);Metamorphic Testing (MT);Quality Assurance;Software Engineering","COVID-19;Technological innovation;Silver;Conferences;Collaboration;Software;History","computer aided instruction;educational courses;educational institutions;further education;program testing","Sino-foreign higher education institution;education innovation;education administrators;People's Republic of China;COVID-19 challenges;technical administration problem;undergraduate software engineering team projects;Nottingham Ningbo China;metamorphic exploration and testing;metamorphic marking administration;staff-student collaboration","","","","47","","18 Jun 2021","","","IEEE","IEEE Conferences"
"Project Progress Monitoring and Assessment at Engineering Undergraduate Level during Covid 19 Pandemic - Challenges and Solution","P. G. Sunitha Hiremath; S. C; P. Desai; M. S. M","School of Computer Science & Engineering, KLE Technological University,Hubballi,India; School of Computer Science & Engineering, KLE Technological University,Hubballi,India; School of Computer Science & Engineering, KLE Technological University,Hubballi,India; School of Computer Science & Engineering, KLE Technological University,Hubballi,India","2021 World Engineering Education Forum/Global Engineering Deans Council (WEEF/GEDC)","4 Jan 2022","2021","","","319","324","The engineering curriculum includes core courses, projects and elective courses. Students need to register for courses and earn credits in their four years of the degree. Face-to-face teaching, laboratory assignments, course projects, mini, minor and capstone projects are essential components that provide a holistic view of courses studied and practical hands-on experiences. Teachers' course delivery plan as per the schedule, contact hours, discussion, and continuous assessment are vital practices that make students on the learning wheel complete degree completion successfully. But, the COVID-19 pandemic has created the most significant disruption of education systems in human history, affecting nearly 1.6 billion learners in more than 200 countries. Lock down in schools, institutions, and other learning spaces have impacted more than 94% of the world's student population. This scenario has brought far-reaching changes in all aspects of our lives. Social distancing and restrictive movement policies have significantly disturbed traditional educational practices. In this paper, authors discuss challenges faced by students and faculty in the project space. We propose a novel collaborated approach for monitoring and carrying out projects during the pandemic in engineering at Under Graduate (UG) level. The success of this approach is based on collaboration and coordination between faculty and Students. Our proposed method uses tools and pedagogy approaches such as Learning Management System (LMS), MS Team (Microsoft), and Google Apps for documents to administrate student activities and communication. Also, phase-wise reviews helped to monitor the progress of projects. Significant challenges during this online monitoring and assessment were internet bandwidth and follow-up of individual contributions. The main advantages of this approach are improvement in communication skills, time management, distantly work in a team, sharing the code and project management. Student's and faculty's feedback, semester-end results speak positivity of the approach followed.","","978-1-6654-2488-2","10.1109/WEEF/GEDC53299.2021.9657245","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9657245","pandemic;reviews;assessment;monitor;learning management system","COVID-19;Schedules;Pandemics;Sociology;Wheels;Social factors;Teamwork","educational courses;educational institutions;engineering education;Internet;learning management systems;teaching","elective courses;face-to-face teaching;laboratory assignments;course projects;capstone projects;learning wheel complete degree completion;COVID-19 pandemic;education systems;human history;learning spaces;restrictive movement policies;pedagogy approaches;learning management system;online monitoring;project management;project progress monitoring;engineering undergraduate level;engineering curriculum;LMS;MS Team;Microsoft;Google Apps;phase-wise reviews;Internet bandwidth","","","","18","IEEE","4 Jan 2022","","","IEEE","IEEE Conferences"
"Preparing Students for Drone Careers Using Active Learning Instruction","D. Lobo; D. Patel; J. Morainvile; P. Shekhar; P. Abichandani","Robotics and Data Laboratory (RADLab), Electrical and Computer Engineering, Newark College of Engineering (NCE), New Jersey Institute of Technology, Newark, NJ, USA; Robotics and Data Laboratory (RADLab), Electrical and Computer Engineering, Newark College of Engineering (NCE), New Jersey Institute of Technology, Newark, NJ, USA; Robotics and Data Laboratory (RADLab), Electrical and Computer Engineering, Newark College of Engineering (NCE), New Jersey Institute of Technology, Newark, NJ, USA; School of Applied Engineering and Technology, Newark College of Engineering (NCE), New Jersey Institute of Technology, Newark, NJ, USA; Robotics and Data Laboratory (RADLab), Electrical and Computer Engineering, Newark College of Engineering (NCE), New Jersey Institute of Technology, Newark, NJ, USA","IEEE Access","16 Sep 2021","2021","9","","126216","126230","The exponential growth in the adoption of drones in various industrial applications has created a demand for professionals experienced in designing, programming, operating, and piloting drones. This paper reports on an active learning-based instructional approach that prepares students for careers in the drone industry. The approach focuses on three foundational pillars of drone careers: 1) drone programming using Python, 2) designing and fabricating drones using Computer-Aided Design (CAD) and rapid prototyping, and 3) the US Federal Aviation Administration (FAA) Part 107 Commercial small Unmanned Aerial Vehicles (sUAVs) pilot test. The approach was implemented and refined over four semesters in an undergraduate class attended by engineering and computer science students at a research institution located in the United States. A case study approach using multiple assessment methods was implemented to examine students' gains in skills and knowledge and attitudes towards an active learning-based approach for drone education. Assessment methods included direct formative (FAA quizzes and programming assignments), direct summative (capstone project), indirect quantitative (survey of learning gains), and indirect qualitative (focus group interviews and capstone project process videos) tools. Assessment results noted in this paper indicate that students were actively engaged during the course and made positive gains in their learning outcomes.","2169-3536","","10.1109/ACCESS.2021.3110578","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9530413","Small unmanned aerial vehicles;sUAVs;education;drones;STEM education;engineering education","Drones;Education;FAA;Python;Programming profession;Robots;Videos","autonomous aerial vehicles;CAD;computer aided instruction;computer science education;control engineering computing;control engineering education;educational courses;further education;Python;software prototyping","drone careers;active learning instruction;exponential growth;industrial applications;active learning-based instructional approach;drone industry;computer-aided design;US Federal Aviation Administration;computer science students;multiple assessment methods;drone education;learning outcomes;commercial small unmanned aerial vehicles pilot test;drone programming;Python;CAD;rapid prototyping;sUAVs;undergraduate class;engineering student;United States;student skills;FAA quizzes;programming assignments;capstone project;direct summative tools;indirect quantitative tools;indirect qualitative tools","","","","77","CCBY","6 Sep 2021","","","IEEE","IEEE Journals"
"Encourage students to apply their knowledge and think “out of the box” while collaborating with local industry - Case Study Industrial Seminar","C. I. Sedano; T. Vasankari","University of Turku,Department of Computing,Turku,Finland; University of Turku,Faculty of Technology,Turku,Finland","2021 IEEE Frontiers in Education Conference (FIE)","20 Dec 2021","2021","","","1","8","Our societies require talented engineers, who are trained in different engineering fields. Simultaneously these students should have the ability to collaborate and work with people of different disciplines and be able to look for innovation. Engineering programs have been developing different approaches to enhance these required skills, for example through capstones and hackathons. Capstones projects, which are often several months long, aim to prepare students for the transition from school to work. Frequently, these projects are designed to serve companies or startups. Hackathon events are intense and short sessions where students solve a challenge in short periods of time, often between 24 to 36 hours. However, it is needed an approach that exposes students, of different disciplines, to a wider number of industries with a more collaborative approach. We need interventions in which students can experience how their knowledge contributes to the innovation and visions of different stakeholders. Furthermore, these learning interventions, where we promote a collaborative experience among the participants where everybody learns from everybody, should require less time than with capstones or hackathons. The University of Turku developed the Industrial Seminar on Future Technologies course for master and phd advanced students, where we address: multidisciplinarity, collaboration, connection with engineering industry and innovation. Students in this course are exposed to challenges and visions of different companies in diverse domains, e.g. biotechnology, metal industry, maritime. Each seminar session focuses on one company, and we work together to address the session's aim in at most four hours. For each session participants have a pre-assignment, which is aligned to the objective of the session, and a post-assignment that focuses on the session's reflection. An important aspect to make each session successful is the preparation of the session with the local company. Hence this course addresses different objectives: (i) Expose students to industry, (ii) Students gain awareness of how their knowledge is relevant for different industry challenges and visions, (iii) Collaboration between session participants (from different backgrounds and from the guest company), (iv) Possibility to innovate (“think out of the box”), (v) University of Turku builds bridges with the local industry, as together with each guest company we go through a process of “sharpening” the company's challenge or vision for this particular seminar session. In this paper we analyze this course with its outcomes, utilizing the final results of each session, and the feedback from students and industry representatives.","2377-634X","978-1-6654-3851-3","10.1109/FIE49875.2021.9637449","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9637449","hackathons;industry collaboration;multidisciplinarity;co-design;capstone","Industries;Seminars;Technological innovation;Conferences;Companies;Reflection;Teamwork","","","","","","15","","20 Dec 2021","","","IEEE","IEEE Conferences"
"Research on Computer Teaching Innovation in Secondary Vocational Schools Based on CDIO : —Take ""Single-Chip Microcomputer Principles and Applications"" as an example","L. Wang; J. Ren; F. Ru; W. Cao","Northwest Normal University,College of Computer Science & Engineering,Lanzhou,China; Northwest Normal University,College of Computer Science & Engineering,Lanzhou,China; Northwest Normal University,College of Computer Science & Engineering,Lanzhou,China; Northwest Normal University,College of Computer Science & Engineering,Lanzhou,China","2021 2nd International Conference on Information Science and Education (ICISE-IE)","29 Mar 2022","2021","","","1563","1566","Information technology has been widely used in all walks of life, and the cultivation of computer application ability of secondary vocational students is increasingly important. But the teaching model of computer courses in most secondary vocational schools is outdated, it seriously affects the quality of teaching and is not conducive to cultivating practical talents. Under the background of the CDIO concept, this article introduces the PBL teaching model to carry out the innovation of the single-chip microcomputer course teaching, and builds a complete and project-oriented teaching model. While improving the teaching quality and the student learning quality, it can also provide references and suggestions for the reform of other courses.","","978-1-6654-3829-2","10.1109/ICISE-IE53922.2021.00346","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9742512","CDIO;PBL;teaching innovation;secondary vocational;single chip microcomputer","Technological innovation;Information science;Computational modeling;Education;Computer applications;Microcomputers;Information technology","","","","","","8","","29 Mar 2022","","","IEEE","IEEE Conferences"
"Customized IoT devices for the architectural education future in connectivity for smart cities","J. L. Reátegui; P. C. Herrera","Universidad Peruana de Ciencias Aplicadas,Facultad de Arquitectura,Lima,Perú; Universidad Peruana de Ciencias Aplicadas,Facultad de Arquitectura,Lima,Perú","2021 2nd Sustainable Cities Latin America Conference (SCLA)","23 Sep 2021","2021","","","1","6","Architecture, and urbanism, in synergy with electronic engineering, computing, and mechatronics, promote the development of applications and services for smart cities in the context of the Fourth Industrial revolution. We link this knowledge from the implementation of IoT in undergraduate education in the field of architecture, in a model to analyze behavior patterns of users and environment variables, monitoring thousands of daily data, to optimize the efficiency and performance of the problems of buildings, promoting people-centered design. Our academic ecosystem is inspired by the traditional use of the PBL of design studios but powered by emerging technologies selected for this research (IoT, Cloud Computing, Microservices, and Parametric Design), to customize GPRS/GSM devices, according to students needs and design problems. Our validation included four knowledge integration mechanisms and the evaluation of the effectiveness of student work to build a low-cost implementation ecosystem: Socialization (Microcontroller Software and Circuit Design), exchange (Telecommunication software), direction (Backend Serverless software), and internalization (Parametric Design). As a whole, it promotes teamwork, collaboration, interaction, constant feedback, and student adaptability, providing an academic background for the construction of sustainable cities from a Latin American perspective.","","978-1-6654-3768-4","10.1109/SCLA53004.2021.9540124","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9540124","Architectural Education;Smart City;IoT;Cloud Computing;GPRS/GSM","Performance evaluation;Photovoltaic systems;Smart cities;Education;Ecosystems;Computer architecture;Software","building management systems;cellular radio;cloud computing;computer aided instruction;Internet of Things;mechatronics;microcontrollers;mobile computing;production engineering computing;sustainable development","Parametric Design;design problems;knowledge integration mechanisms;student work;low-cost implementation ecosystem;Microcontroller Software;Circuit Design;Telecommunication software;Backend Serverless software;student adaptability;sustainable cities;customized IoT devices;architectural education future;smart cities;urbanism;mechatronics;Fourth Industrial revolution;undergraduate education;environment variables;daily data;people-centered design;academic ecosystem;design studios;Cloud Computing","","","","14","","23 Sep 2021","","","IEEE","IEEE Conferences"
"AI Education in Massive Open Online Courses: A Content Analysis","X. Zhou; Y. Tong; X. Lan; K. Zheng; Z. Zhan","South China Normal University,School of Information Technology in Education,Guangzhou,China; South China Normal University,School of Information Technology in Education,Guangzhou,China; South China Normal University,School of Information Technology in Education,Guangzhou,China; South China Normal University,School of Information Technology in Education,Guangzhou,China; South China Normal University,School of Information Technology in Education,Guangzhou,China","2021 3rd International Conference on Computer Science and Technologies in Education (CSTE)","6 Sep 2021","2021","","","80","85","This study aims to explore the current state of AI education in massive open online courses (MOOCs). We screened 128 sample MOOC courses from 10 learning platforms and coded information on course overviews, content outlines, recommended materials and teaching methods as a way to understand the content and teaching methods of AI education on MOOC platforms. The results show that: (1) Coursera and Edx platforms offer the largest number of ESD-related courses, the organizations offering MOOCs are mostly companies and universities, and the number of AI education-related courses started from 2012 to the present has increased year by year. The average number of participants is exceeds 120,000, and AI courses are currently very popular; (2) Core algorithms and topics related to typical applications are the main content of AI education; (3) Online procedural teaching, task-driven teaching and online collaborative learning are the most used pedagogical methods in MOOCs at this stage. However, pedagogical approaches such as scenario-based learning and project-based learning are not yet fully utilized in the MOOC environment. Our findings suggest that MOOC AI education in research a practical and innovative approach in preparing and learning AI education-related MOOC courses.","","978-1-6654-2663-3","10.1109/CSTE53634.2021.00023","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9527052","artificial intelligence education;MOOC;open educational resource;open courseware;content analysis;learning content;pedagogical methods","Computer science;Computer aided instruction;Electronic learning;Distance learning;Education;Companies;Collaborative work","computer aided instruction;educational courses;groupware;teaching","course overviews;content outlines;recommended materials;teaching methods;MOOC platforms;ESD-related courses;task-driven teaching;online collaborative learning;massive open online courses;content analysis;sample MOOC courses;online procedural teaching;AI education-related MOOC courses","","","","19","","6 Sep 2021","","","IEEE","IEEE Conferences"
"Teaching Z Generation Engineers. Using Entrepreneurship Education to Develop Soft Skills and Match Employers’ Expectations","C. -D. Anca; C. M. Alexandra; S. Adrian","Technical University of Cluj-Napoca,Department of Electrical Engineering and Management,Cluj-Napoca,Romania; Technical University of Cluj-Napoca,Department of Electrical Engineering and Management,Cluj-Napoca,Romania; Technical University of Cluj-Napoca,Department of Computers Science,Cluj-Napoca,Romania","2020 International Conference and Exposition on Electrical And Power Engineering (EPE)","18 Feb 2021","2020","","","180","184","The first promotion of Z generation students is graduating in 2020. They are students born in the age of internet, who grew up with technology and information accessible at one click of the mouse. At the same time, they pose considerable challenges to current instructional methods which seem to no longer engage students in learning. The article aimed to bring together data from a range of articles to define Z generation students, in the context of engineering educational offers and employers' expectations. The study was designed as an analysis of relevant research literature on Z generation characteristics, educational methods used in engineering and employers' expectations. Results show Z generation students lack soft skills, including communication and information seeking abilities. Z generation students are entrepreneurial, have shorter attention spans, difficulties in understanding the labor market and a strong desire for customized curricula and hands-on approaches. Our conclusions suggest engineering teaching methods should focus more on active learning and problem-based learning techniques, while also integrating entrepreneurship to much higher extents in the course curricula.","2644-223X","978-1-7281-8126-4","10.1109/EPE50722.2020.9305662","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9305662","engineering;teaching;university;Z generation;entrepreneurship","Education;Entrepreneurship;Knowledge engineering;Faces;Teamwork;TV;Engineering students","computer aided instruction;computer science education;educational courses;educational institutions;engineering education;further education;innovation management;Internet;teaching","teaching Z generation engineers;entrepreneurship education;develop soft skills;match employers;Z generation students;longer engage students;engineering educational offers;Z generation characteristics;educational methods;engineering teaching methods","","","","20","","18 Feb 2021","","","IEEE","IEEE Conferences"
